POSTCODE,TOTAL_HOUSEHOLD_COUNT,STATE,DOMINANT_MOSAIC_GROUP,DOMINANT_MOSAIC_TYPE,MOSAIC_GROUP_A,MOSAIC_GROUP_B,MOSAIC_GROUP_C,MOSAIC_GROUP_D,MOSAIC_GROUP_E,MOSAIC_GROUP_F,MOSAIC_GROUP_G,MOSAIC_GROUP_H,MOSAIC_GROUP_I,MOSAIC_GROUP_J,MOSAIC_GROUP_K,MOSAIC_GROUP_L,MOSAIC_GROUP_M,MOSAIC_GROUP_N,MOSAIC_TYPE_A01,MOSAIC_TYPE_A02,MOSAIC_TYPE_A03,MOSAIC_TYPE_A04,MOSAIC_TYPE_B05,MOSAIC_TYPE_B06,MOSAIC_TYPE_B07,MOSAIC_TYPE_C08,MOSAIC_TYPE_C09,MOSAIC_TYPE_C10,MOSAIC_TYPE_D11,MOSAIC_TYPE_D12,MOSAIC_TYPE_D13,MOSAIC_TYPE_E14,MOSAIC_TYPE_E15,MOSAIC_TYPE_E16,MOSAIC_TYPE_F17,MOSAIC_TYPE_F18,MOSAIC_TYPE_F19,MOSAIC_TYPE_F20,MOSAIC_TYPE_G21,MOSAIC_TYPE_G22,MOSAIC_TYPE_G23,MOSAIC_TYPE_G24,MOSAIC_TYPE_H25,MOSAIC_TYPE_H26,MOSAIC_TYPE_H27,MOSAIC_TYPE_I28,MOSAIC_TYPE_I29,MOSAIC_TYPE_I30,MOSAIC_TYPE_J31,MOSAIC_TYPE_J32,MOSAIC_TYPE_J33,MOSAIC_TYPE_J34,MOSAIC_TYPE_J35,MOSAIC_TYPE_K36,MOSAIC_TYPE_K37,MOSAIC_TYPE_K38,MOSAIC_TYPE_K39,MOSAIC_TYPE_K40,MOSAIC_TYPE_L41,MOSAIC_TYPE_L42,MOSAIC_TYPE_L43,MOSAIC_TYPE_L44,MOSAIC_TYPE_M45,MOSAIC_TYPE_M46,MOSAIC_TYPE_M47,MOSAIC_TYPE_M48,MOSAIC_TYPE_N49,MOSAIC_TYPE_N50,MOSAIC_TYPE_N51,MOSAIC_TYPE_N52
2792,392,NSW,K,K40,0,0,0,0,0,0,0,0,0,0,255,135,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,59,155,123,3,7,2,0,0,0,0,2,0,0,0
2793,736,NSW,K,K40,0,0,0,0,0,0,0,0,0,0,514,170,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,444,0,9,161,0,0,0,4,0,0,48,0,0
2794,5236,NSW,K,K39,0,0,0,16,0,71,0,0,0,888,2484,1318,70,389,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,250,607,0,516,528,822,618,521,165,563,69,22,0,48,0,158,163,68,0
2795,20210,NSW,L,L41,408,0,30,1237,1676,2261,91,441,665,3592,3579,4079,1251,900,0,0,372,36,0,0,0,0,0,30,207,1,1029,1676,0,0,44,1678,539,0,0,9,82,0,141,300,0,3,619,43,17,760,0,1396,1419,65,927,1398,666,523,1734,1192,617,536,880,48,292,31,226,486,177,11
2797,291,NSW,K,K39,0,0,0,0,0,0,0,0,0,0,150,131,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,96,1,5,0,60,66,0,0,9,0,0,1,0,0
2798,1016,NSW,L,L42,130,0,0,156,24,67,0,0,0,0,139,454,46,0,0,0,130,0,0,0,0,0,0,0,0,0,156,24,0,0,0,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,76,37,1,0,168,199,40,47,39,0,6,1,0,0,0,0
2799,2273,NSW,K,K37,4,0,0,16,48,196,0,4,0,262,1041,589,12,101,0,0,4,0,0,0,0,0,0,0,1,0,15,48,0,0,0,195,1,0,0,0,0,0,0,4,0,0,0,0,0,11,0,160,91,27,567,143,214,90,325,59,105,100,5,0,7,0,65,36,0,0
2800,21971,NSW,K,E14,1624,3,422,1511,2274,2431,53,487,784,3100,4082,1998,2114,1088,0,17,1397,210,0,3,0,157,251,14,144,14,1353,2255,19,0,188,1751,492,0,0,0,53,0,192,295,0,44,689,51,31,631,24,1003,1411,346,1819,1346,472,99,1192,557,24,225,1262,213,474,165,339,518,228,3
2803,200,NSW,L,K40,0,0,0,0,0,0,0,0,0,0,95,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,36,69,0,0,0,0,0,0,0,0,0
2804,1431,NSW,K,K40,0,0,0,1,0,0,0,0,0,126,708,539,2,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,149,185,373,98,10,368,63,0,0,1,1,55,0,0,0
